POW(20.379451178462922,77.3964080821438)=2.12224620869388e+101
POW(50.676821499460935,22.14379388772484)=5.635692074052466e+37
POW(59.22260846881562,84.93153189474086)=3.468018141065241e+150
POW(10.601662955175263,50.06339479617162)=2.1562694652104087e+51
POW(32.467220100265,63.11960771532467)=2.522447416545387e+95
POW(48.238826841162854,21.497023497001543)=1.541768671371286e+36
POW(77.74498510279449,11.519745208270358)=6.026485886175636e+21
POW(63.53697838950273,41.82868249873686)=2.619542232591733e+75
POW(34.168477194981584,15.275602672802165)=2.673349118267382e+23
POW(68.34403840465076,84.9760270889131)=8.045833918075923e+155
POW(56.298250245742906,60.51801622087264)=8.639300503102305e+105
POW(44.38757937386601,91.32871104229172)=2.768637305386972e+150
POW(25.637579354188144,2.0959648624960447)=897.3393742141243
POW(18.86439202270443,53.48693798725538)=1.6991355663256885e+68
POW(7.095287730767989,7.320656719404435)=1696912.0554857212
POW(9.083888456300524,23.150068374501156)=1.5277684022457548e+22
POW(54.29300153952866,3.784608944909049)=3675590.319279667
POW(22.75582915475674,15.847602158889377)=3.21117992578801e+21
POW(56.88827404859711,96.71647774814802)=5.4905961259886526e+169
POW(55.088845420171886,64.63435927706462)=3.408276269805184e+112
POW(83.50336729206941,7.433066756136708)=192377392833497.03
POW(4.664666745892431,74.26034991968312)=4.643585436820857e+49
POW(38.827649669458644,31.386392932702307)=7.540620201760162e+49
POW(60.952325627134776,9.434842668774337)=69358942642616936
POW(10.328318793461012,19.252940240257228)=33346630136469200896
POW(98.57661383233611,17.960061480770843)=6.431344109487931e+35
POW(15.943644759047162,43.556813184458385)=2.403719766701708e+52
POW(78.00527185161971,3.13469931785244)=853571.0365939939
POW(78.73164427653336,32.723302392781804)=1.1175517224739956e+62
POW(94.77942849225349,78.67738478083842)=3.331921162777783e+155
POW(15.62747358621295,6.71980681580947)=105366345.5721573
POW(10.97307386348467,77.27447380381359)=2.459360344743048e+80
POW(77.41086596284306,78.27022463607095)=6.869909592184152e+147
POW(36.63936410592624,87.87206278999635)=2.6750413545549502e+137
POW(13.372044566736585,60.851732962359115)=3.3969466217941143e+68
POW(95.18199083136184,90.99553207832635)=1.0955831443433829e+180
POW(34.95380910831988,48.40600977651478)=5.180961279043759e+74
POW(46.70536216005018,3.890564215662858)=3124485.525277798
POW(1.920291139622999,77.99127223760777)=1.2593861921789127e+22
POW(58.080498697377244,96.8037466514372)=5.817626011856841e+170
POW(29.101694951387387,84.78386945893479)=1.308147435403996e+124
POW(48.5103294845682,21.584580764081167)=2.4435710493443758e+36
POW(46.42768209194273,76.41003945834905)=2.2829504789503564e+127
POW(75.0421150914584,94.75548886215844)=4.959619093867659e+177
POW(75.73246537479947,86.43516855089719)=2.729383946616937e+162
POW(88.73851813068165,92.4376478353742)=1.199242200093216e+180
POW(88.86167410783513,12.399495194123098)=1.4557136830480612e+24
POW(54.399542366777375,82.69805718432036)=3.3912118563510573e+143
POW(35.27866882000462,36.500951765460954)=3.0596220505626936e+56
POW(77.72534966746107,10.448739221588973)=56753999556777902080
POW(33.56432314655955,84.47265702127432)=7.851632604884933e+128
POW(5.015298269991469,70.10496880078067)=1.2424615762352994e+49
POW(17.274286128876565,72.76914534616277)=1.1080219834053292e+90
POW(85.21570193835926,64.79269042281778)=1.212161438930981e+125
POW(63.36945863437673,16.895105251433616)=2.7730148742567655e+30
POW(50.34005697886927,55.126687521442065)=6.620105060333313e+93
POW(38.714043302950394,77.2196351283671)=4.117452843315812e+122
POW(71.47940473806696,68.42211745015221)=7.361819614010055e+126
POW(75.8737079649279,39.28013059914257)=7.083243016266362e+73
POW(51.12664552324032,15.497989268263446)=3.0241094470208702e+26
POW(90.69406139152115,66.8272745948821)=6.601754777615699e+130
POW(48.70748354952885,8.012540296933238)=33260478374941.77
POW(77.72299858047911,55.52305643701754)=9.312991829393346e+104
POW(72.67865454338455,86.40887725696567)=6.951499918796166e+160
POW(28.280530085912243,66.07254120530081)=8.007015373364802e+95
POW(52.12130640215227,4.311282636170892)=25266100.37239664
POW(60.695147135778825,32.120871309377655)=1.889988445307209e+57
POW(17.97835980982738,85.2964775051129)=1.0611113102983559e+107
POW(90.67256983623263,13.591348764779529)=4.024741488322441e+26
POW(57.7926926968314,89.57139906977484)=6.50763669635446e+157
POW(75.77792559603674,83.96085400326906)=6.427043917702265e+157
POW(67.34593039830861,83.99607523571734)=3.723731089251417e+153
POW(78.38513173967179,97.68773983920937)=1.1051167359010598e+185
POW(13.845704333551186,20.841772290640616)=6.123905106573494e+23
POW(57.27766677678687,73.15606093848842)=4.048378336627342e+128
POW(78.02708656135837,57.47501463279415)=5.712570158051563e+108
POW(62.214143995409174,54.17304042387626)=1.5150548559633123e+97
POW(99.94568421138598,42.058952699832616)=1.2822756582713619e+84
POW(71.02074759681679,3.6421654812918938)=5534156.191384666
POW(96.07299615667448,59.624570297602965)=1.6283684028349973e+118
POW(32.42375923339491,25.76788000316944)=8.545665947407169e+38
POW(14.624680566913861,98.58273506540029)=7.201165837034485e+114
POW(84.36190954682023,52.23270009943456)=4.05347349662254e+100
POW(8.215212700671264,45.022902685133225)=1.5093632746861304e+41
POW(98.42364470953991,61.302320331216464)=1.5192194926119163e+122
POW(97.71108847767357,42.556362537671234)=4.8391820796677015e+84
POW(26.10600209037465,49.176842673033924)=4.686171817544215e+69
POW(4.278814901613172,21.734089713446707)=52630994836244.43
POW(78.1458861742955,77.64580489016215)=9.467150973905341e+146
POW(60.63403608779123,43.16663733223305)=8.992401041079125e+76
POW(6.802619007185003,6.418663463242991)=221140.33807253442
POW(52.83276052831093,4.730511892385722)=141323558.94000518
POW(24.212074443083793,33.940271333456415)=9.42804468807284e+46
POW(42.81719677000994,61.07648927652741)=4.503118481023591e+99
POW(37.4137474172201,46.11931629535377)=3.524714254319147e+72
POW(57.079882022824044,5.587385505459352)=6518505376.590977
POW(15.43160012088067,35.7572808918038)=3.1213649119060174e+42
POW(41.624586133615225,55.66720852166599)=1.3953724200358456e+90
POW(3.4506698848115738,76.32128305546722)=1.1310418860041838e+41
POW(20.681572203995202,77.4688784202574)=8.256236586577139e+101
POW(44.71067704076364,20.96243684232032)=3.950404021378618e+34
POW(67.2528560162574,18.881606421501644)=3.23679129456244e+34
POW(13.322923203424386,90.13084954297324)=2.2967331599307417e+101
POW(82.29702137467308,43.46301851362458)=1.7716393991334098e+83
POW(43.08917033685983,36.83197308111916)=1.5739938935526865e+60
POW(78.864023532903,85.66811993878282)=3.1772524199776112e+162
POW(13.915881107851325,74.3814179608202)=1.137491176135359e+85
POW(97.73752266373337,21.43724719601759)=4.586026910195893e+42
POW(12.369948479835463,55.800362207512656)=9.00583470585773e+60
POW(18.21342774477718,69.0522983456764)=1.0788046638166612e+87
POW(12.197104602805542,75.16760376232158)=4.480400579509726e+81
POW(59.81295816949379,6.182874681062043)=96761493174.28984
POW(53.950038382567776,80.38068962783656)=1.6545958757725044e+139
POW(83.43576132650648,16.59078120462255)=7.52895179437065e+31
POW(33.32055612454605,85.40053678855458)=1.0975966564644523e+130
POW(20.073484919618036,60.68816771922301)=1.1318516524739653e+79
POW(21.93890553620237,62.37823004154011)=4.5984894700874326e+83
POW(53.88859284029402,37.81048949323993)=2.942681103202444e+65
POW(9.551362742869056,60.38861796338)=1.5303520167754348e+59
POW(83.38757312149387,26.63849039747399)=1.497060843673852e+51
POW(41.20241058894971,59.935881225526025)=6.191711001023614e+96
POW(68.97733943184286,20.07669088322939)=8.225092656092367e+36
POW(3.1443213288377696,21.03657146902781)=29259078574.755695
POW(11.297937987608293,99.98628531004994)=1.929643614852854e+105
POW(72.28753258528431,1.818358173076314)=2401.281802116981
POW(75.63816529399419,79.7316041769766)=6.237817133095689e+149
POW(64.04994910374178,43.03555444747318)=5.553128246037099e+77
POW(47.924172564561765,87.25555895468165)=4.3424318334635695e+146
POW(6.42967763766234,10.477702340997402)=293741877.64998716
POW(45.35581171170998,97.47375489333126)=3.007692991223276e+161
POW(57.300427693154745,39.424810192074276)=2.0655706743211166e+69
POW(78.96958967616749,59.94871780120259)=5.627130296072487e+113
POW(21.929150739281408,15.251146912939317)=283217889122507784192
POW(17.479760945250774,60.34559668016451)=9.58397061141157e+74
POW(30.46103264568393,41.27392599725463)=1.7376637056225923e+61
POW(35.37959350016333,30.889999430502158)=6.933847815478211e+47
POW(14.574512289345694,60.56867627800195)=3.0015816971548867e+70
POW(47.51753164748035,60.53537669340658)=3.228351690120421e+101
POW(65.18976227927617,51.50823233992817)=2.787237040445012e+93
POW(35.41285746264349,10.641397888189125)=30565977518355152
POW(96.6258456386037,80.87469463962506)=3.497962066145014e+160
POW(23.689642570776,69.9447017426177)=1.3902243134403506e+96
POW(19.77424494259622,93.75234539932616)=3.253916331400747e+121
POW(86.19648354918871,15.134415229525963)=1.9611124832862654e+29
POW(75.59696394847833,54.339122864156806)=1.192007259892496e+102
POW(29.55155674414258,44.10399467522518)=7.218858725712408e+64
POW(62.30957421705098,39.17452632325248)=1.9990958052477578e+70
POW(78.73233343170118,9.696423841736111)=2431668393378141696
POW(7.274652862222972,93.55124003524486)=4.20346003901429e+80
POW(12.585923939124008,37.29420393667483)=1.045536820838359e+41
POW(2.828920168512539,72.71815655949722)=6.934644175634357e+32
POW(15.683885043592474,57.52934096891191)=5.938279962426794e+68
POW(0.1352077489492142,87.79628963056109)=5.071813040716227e-77
POW(38.54971207243302,68.3667178676029)=2.698110416211879e+108
POW(53.822220902187745,87.86938875096679)=1.2546974258188285e+152
POW(26.63990357909425,9.678385721813383)=62640444706734.664
POW(25.322521994251524,88.01148955336029)=3.3476333494604835e+123
POW(37.8493087205421,27.358081927601756)=1.4881226816577241e+43
POW(98.98199914665669,0.42294392668774367)=6.9824588358108075
POW(10.299152015086504,45.43147054905223)=1.0305286778333188e+46
POW(16.943759729679396,72.89549776166851)=3.8840067976715546e+89
POW(39.78524071137168,75.1974124362496)=1.9722150364443607e+120
POW(99.79092166194704,90.93143039487079)=6.028471181532145e+181
POW(42.480597538181605,14.777861610078755)=1.1512658233860158e+24
POW(97.07548919626274,91.59993951379728)=1.0450042290009019e+182
POW(91.32555074985926,85.84296897659243)=2.0093888174158153e+168
POW(15.071773012399303,42.556936812460734)=1.377417440570403e+50
POW(77.5413513187553,23.460602421629766)=2.1359498112844596e+44
POW(66.91504927288395,25.98586828359667)=2.740444869772003e+47
POW(31.163950896066584,34.48003770851414)=3.170990315316208e+51
POW(19.447486547706923,92.53322838232707)=1.831043767062192e+119
POW(47.33514799610905,85.77356416818851)=4.85825108774254e+143
POW(44.63395599441004,89.72086150888617)=1.021878299917511e+148
POW(74.10165639349573,49.86077911097189)=1.7024591055316766e+93
POW(15.549052797182725,60.01306205047504)=3.294597694150678e+71
POW(3.3374757485111086,21.743821860863314)=240497369211.56235
POW(18.22812367079217,76.90405353895852)=9.039984503359841e+96
POW(4.434457572725322,48.56046740940492)=2.57559289016298e+31
POW(43.32213945716636,62.827363830448526)=6.763447511036234e+102
POW(88.19972101361333,84.046527503841)=3.2341748190841605e+163
POW(2.5287231206296874,95.31124458125554)=2.5178066985917847e+38
POW(62.856681735047445,2.169293230176502)=7964.373652352089
POW(90.94025959760435,89.32397812103196)=9.202271127334038e+174
POW(76.32933773350616,59.956121283620526)=7.566230543090004e+112
POW(71.082699179445,60.38494900871629)=6.586721793601972e+111
POW(58.20104963924748,97.94474083556551)=7.33992248161506e+172
POW(62.539178004528296,49.434940300173686)=6.2040491587856965e+88
POW(11.406348968934154,95.85327306685201)=2.142727451328517e+101
POW(72.5395702302145,35.36859172727079)=6.396122643946639e+65
POW(63.586371151154474,96.13641403626804)=2.3385791467341477e+173
POW(64.60871113311826,28.783059063801264)=1.2756014535536135e+52
POW(4.480880423021454,45.763321245343825)=6.435027954137638e+29
POW(83.73079234142293,96.71241990791995)=9.265758743087307e+185
POW(42.40693837280454,46.977083000579015)=2.8329520707558094e+76
POW(64.34362291411702,19.29079140802908)=7.717960715635046e+34
POW(91.83122557273626,56.56888438329375)=1.1070720219460291e+111
POW(77.49639423184503,72.50190071521565)=9.473259815495144e+136
POW(29.977744026090825,32.434318231490536)=7.92441130011706e+47
POW(12.582097967962719,7.519638517091021)=186099620.444083
POW(36.270626152945134,27.74257736321476)=1.8453413389254267e+43
POW(14.49327788402677,86.5713985268144)=3.340551274254559e+100
POW(29.540372470273695,84.54332671159058)=2.0599538803509297e+124
POW(18.22552007505761,34.40119497127912)=2.3382775937940208e+43
POW(34.94776613972566,2.7840683169363336)=19814.590866421673
POW(58.162195348635834,8.091466223576234)=189902794202670.75
POW(38.71398217395143,59.313997458485815)=1.5233137675979906e+94
POW(31.560907358229635,16.18280468803918)=1.821558989774389e+24
POW(76.48266925370795,10.524317517849264)=66560329094770974720
POW(41.229304521136264,97.3567627594794)=1.7833156474931123e+157
POW(85.3485692897565,69.88121246019625)=9.001919504302697e+134
POW(53.23608992894221,21.079058378070666)=2.4366895954261682e+36
POW(56.212473497437344,56.27096612052156)=2.9159249571532095e+98
